element_start,shared_barricade_cover1,ActorDataClass
m_Tags,military,cover,brain_blessing,lungs_blessing,eyes_blessing,arms_blessing,final_blessing,
m_Size,1,
m_IsTickTriggerValid,True,
m_IsStressTriggerValid,True,
m_ResistAlwaysIds,stun,blight,bleed,disease,move,debuff,
m_IsBattleComplete,True,
m_IsStallCounted,True,
element_end
element_start,shared_barricade_cover1,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,20,0,0,
sub_stat,resistance,stun,2,
sub_stat,resistance,blight,2,
sub_stat,resistance,bleed,2,
sub_stat,resistance,burn,0.1,
sub_stat,resistance,disease,2,
sub_stat,resistance,move,2,
sub_stat,resistance,debuff,2,
sub_stat,resistance,death,0.05,
element_end
element_start,shared_barricade_cover1,ActorDataEffects
spawn_effects,add_1_immobilize_permanent,barricade_guard_e,barricade_cover_e,
turn_skip_effects,stun_temp_resist_buff_e,
element_end
